emi,channel_key,event_count,first_event,last_event,max_gap_s,interarrival_p50_s,interarrival_p90_s,interarrival_p99_s,gaps_gt_5min,gaps_gt_30min,gaps_gt_6h,gaps_gt_24h,gaps_gt_3d
EMI01,DHI,379551,2025-12-01 06:09:08.018,2026-06-30 14:38:24.472,698821.195,13.247,36.555,119.56351,604,293,207,3,1
EMI01,DNIcosZ,94551,2025-12-01 06:30:47.210,2026-06-30 14:38:24.472,5511105.982,6.624,9.967,109.41873,696,413,135,15,5
EMI01,GHI,399632,2025-12-01 06:08:08.283,2026-06-30 18:00:11.192,698807.916,13.141,33.235,115.9112,602,272,204,7,2
EMI01,POA,48079,2025-12-01 06:49:38.305,2026-06-30 18:00:17.769,5511105.982,13.263,29.807,149.13901,398,302,105,14,3
EMI01,RSI_01,26923,2025-12-01 06:49:38.305,2026-06-30 14:38:24.472,5511105.982,13.279,82.984,2635.2242,683,297,108,10,3
EMI01,RSI_02,26785,2025-12-01 06:49:38.305,2026-06-30 14:38:24.472,5511105.982,13.279,82.8072,2657.37852,686,298,108,10,3
EMI01,RSI_03,26177,2025-12-01 06:49:38.305,2026-06-30 14:38:24.472,5511105.983,13.294,86.1865,2866.357,692,298,108,10,3
EMI02,DHI,149020,2025-12-01 06:07:42.407,2026-06-30 18:00:47.669,5511093.752,23.121,46.226,128.804,344,183,130,8,3
EMI02,DNIcosZ,27474,2025-12-01 10:34:57.775,2026-06-30 14:38:25.113,5511093.752,23.121,46.194,1008.45176,599,239,109,16,6
EMI02,GHI,156425,2025-12-01 06:07:52.316,2026-06-30 18:00:57.558,5511093.752,23.121,42.961,118.92655,339,180,130,8,3
EMI02,POA,156356,2025-12-01 06:07:32.501,2026-06-30 18:01:20.647,5511093.752,23.121,42.976,115.53244,344,180,129,8,3
EMI02,RSI_01,46648,2025-12-01 08:13:07.515,2026-06-30 16:28:03.064,5511093.752,26.417,138.645,670.5296,1501,230,130,8,3
EMI02,RSI_02,43487,2025-12-01 08:26:49.757,2026-06-30 16:26:53.766,5511093.767,26.417,138.6455,709.79415,1423,237,128,10,3
EMI02,RSI_03,42797,2025-12-01 08:31:17.197,2026-06-30 16:28:03.064,5511093.751,26.417,138.708,730.23575,1455,237,129,9,3
EMI03,DHI,313448,2025-12-01 06:07:49.564,2026-06-30 18:01:33.817,48105.574,23.121,46.179,115.125,503,245,211,0,0
EMI03,DNIcosZ,1714,2025-12-05 12:46:47.936,2026-06-30 14:38:23.957,6229083.395,23.09,491.8366,89551.7144,184,153,65,20,9
EMI03,GHI,303415,2025-12-01 06:08:45.627,2026-06-30 18:00:21.346,48683.171,23.121,46.225,118.93087,568,242,211,0,0
EMI03,POA,356,2026-03-13 17:14:15.439,2026-06-30 14:38:23.957,5511115.517,15.92,39551.098,102070.98822,158,136,49,8,2
EMI03,RSI_01,356,2026-03-13 17:14:15.439,2026-06-30 14:38:23.957,5511115.517,15.92,39551.098,102070.98822,158,136,49,8,2
EMI03,RSI_02,356,2026-03-13 17:14:15.439,2026-06-30 14:38:23.957,5511115.517,15.92,39551.098,102070.98822,158,136,49,8,2
EMI03,RSI_03,356,2026-03-13 17:14:15.439,2026-06-30 14:38:23.957,5511115.517,15.92,39551.098,102070.98822,158,136,49,8,2
EMI04,DHI,334009,2025-12-01 06:08:22.205,2026-06-30 17:58:41.647,50297.298,23.058,42.92,118.711,509,225,213,0,0
EMI04,DNIcosZ,28497,2025-12-01 06:49:39.664,2026-06-30 14:41:12.423,428373.668,19.824,42.898,2612.1798,553,325,167,43,3
EMI04,GHI,346587,2025-12-01 06:07:49.204,2026-06-30 17:59:27.841,50244.558,23.057,42.882,108.901,468,221,211,0,0
EMI04,POA,53109,2025-12-01 06:07:49.204,2026-05-22 09:22:53.170,5804451.902,23.09,42.953,128.647,112,44,39,3,3
EMI04,RSI_01,15,2025-12-01 06:49:39.664,2026-05-22 09:22:53.170,8845348.16,3460.0105,3993497.5769,8411895.21683,11,9,4,3,3
EMI04,RSI_02,7687,2025-12-01 06:49:39.664,2026-05-22 09:22:53.171,5809059.536,36.3295,158.548,1243.50545,308,64,38,4,3
EMI04,RSI_03,65792,2025-12-01 06:49:39.664,2026-06-30 16:22:39.941,153749.472,23.152,138.582,877.7769,2337,376,205,7,0
EMI05,GHI,3250761,2025-12-24 06:19:05.351,2026-06-30 23:52:08.111,45603.796,1.531,4.514,15.091,419,284,175,0,0
