source_sheet,date,curtailed_energy_kwh
Sheet2,2025-01-02,3827.196
Sheet2,2025-01-03,4929.505
Sheet2,2025-01-10,22173.054
Sheet2,2025-01-14,42215.62
Sheet2,2025-01-16,32108.735
Sheet2,2025-01-17,15054.02
Sheet2,2025-01-18,12566.51
Sheet2,2025-01-20,14167.175
Sheet2,2025-01-23,46223.755
Sheet2,2025-01-24,32730.445
Sheet2,2025-01-25,18348.85
Sheet2,2025-01-26,9035.74
Sheet2,2025-01-27,80778.5
Sheet2,2025-01-28,24999.545
Sheet2,2025-01-30,28598.7
Sheet2,2025-01-31,47406.89
Detail2,2025-06-03,964.5
Detail2,2025-06-04,2595.85
Detail2,2025-06-05,8637.92
Detail2,2025-06-06,8100.68
Detail2,2025-06-08,30791.39
Detail2,2025-06-09,114899.33
Detail2,2025-06-11,15738.93
Detail2,2025-06-13,19531.85
Detail2,2025-06-15,62539.48
Detail2,2025-06-16,29768.16
Detail2,2025-06-17,29977.72
Detail2,2025-06-18,35030.67
Detail2,2025-06-23,2282.17
Detail2,2025-06-24,1736.17
Detail2,2025-06-25,49785.83
Detail2,2025-06-27,9917.5
Detail2,2025-06-28,7002.67
Detail2,2025-06-29,28461.83
Detail3,2025-08-01,42320
Detail3,2025-08-02,14926.17
Detail3,2025-08-05,988.67
Detail3,2025-08-07,533.33
Detail3,2025-08-08,20315.67
Detail3,2025-08-13,60788
Detail3,2025-08-15,27692.5
Detail3,2025-08-16,21970.67
Detail3,2025-08-17,68703
Detail3,2025-08-19,11838.5
Detail3,2025-08-20,4470.33
Detail3,2025-08-22,5006.33
Detail3,2025-08-29,1100.67
